SKU,Cliente,Idade,uf,Categoria,Faturamento
PROD-8433,Camila,19,SP,Eletronico,605.91
PROD-1053,Marcos,49,SP,Eletronico,62.79
PROD-5315,Mariana,41,RS,Eletronico,3208.03
PROD-9201,Rafael,29,MG,Moveis,2600.12
PROD-3927,Marcos,67,RS,Vestuario,2988.02
PROD-9317,Camila,52,RS,Eletronico,3979.03
PROD-2743,Mariana,50,RS,Moveis,3250.7
PROD-5889,Pedro,50,RS,Vestuario,915.13
PROD-9317,Juliana,78,BA,Moveis,1835.82
PROD-4258,Juliana,68,BA,Vestuario,4534.16
PROD-3504,Juliana,60,RJ,Moveis,3861.23
PROD-7126,Marcos,29,SP,Vestuario,2805.35
PROD-3646,Pedro,84,RS,Eletronico,1315.44
PROD-9837,Marcos,82,RJ,Vestuario,1545.2
PROD-9689,Rafael,50,SP,Moveis,3673.19
PROD-1009,Marcos,57,MG,Moveis,4263.31
PROD-6310,Pedro,60,BA,Vestuario,3373.55
PROD-9005,Pedro,61,SP,Eletronico,4057.17
PROD-1319,Rafael,46,MG,Eletronico,3844.95
PROD-2832,Pedro,30,SP,Vestuario,791.03
PROD-6947,Camila,29,BA,Vestuario,2148.53
PROD-6038,Pedro,63,BA,Moveis,807.27
PROD-4923,Juliana,19,RJ,Eletronico,1214.42
PROD-1949,Camila,52,RS,Vestuario,4352.84
PROD-4946,Camila,25,SP,Eletronico,2390.82
PROD-2290,Rafael,43,SP,Vestuario,2700.02
PROD-2403,Lucas,51,MG,Vestuario,933.31
PROD-8962,Lucas,24,BA,Eletronico,1595.75
PROD-2133,Pedro,85,SP,Vestuario,1189.72
PROD-9727,Camila,75,BA,Vestuario,1070.62
PROD-3060,Lucas,46,SP,Moveis,3207.91
PROD-3103,Lucas,53,RJ,Vestuario,1321.58
PROD-8787,Pedro,38,RS,Vestuario,3178.48
PROD-3705,Lucas,53,SP,Vestuario,339.35
PROD-5342,Marcos,27,BA,Moveis,751.78
PROD-9645,Mariana,90,RJ,Eletronico,1408.97
PROD-7932,Rafael,41,SP,Moveis,3005.38
PROD-4470,Mariana,81,MG,Moveis,3395.41
PROD-9835,Pedro,66,RS,Eletronico,2241.45
PROD-4295,Juliana,53,SP,Moveis,2256.67
PROD-6107,Rafael,41,RJ,Eletronico,3636.36
PROD-7537,Pedro,40,MG,Moveis,128.31
PROD-7118,Camila,79,RJ,Eletronico,1738.4
PROD-8177,Juliana,54,RJ,Vestuario,4102.6
PROD-9479,Mariana,29,MG,Moveis,3035.94
PROD-8397,Pedro,72,RJ,Moveis,1719.27
PROD-2982,Camila,30,MG,Moveis,4532.35
PROD-5061,Rafael,40,SP,Moveis,3874.48
PROD-4681,Rafael,47,MG,Vestuario,1361.23
PROD-2049,Fernanda,34,MG,Moveis,3244.18
PROD-6539,Camila,79,RS,Vestuario,2998.97
PROD-1344,Marcos,30,MG,Vestuario,2035.88
PROD-4770,Lucas,76,MG,Vestuario,1866.43
PROD-4608,Juliana,36,SP,Vestuario,1750.62
PROD-1117,Camila,66,RS,Eletronico,3104.92
PROD-2163,Fernanda,29,BA,Eletronico,2239.93
PROD-1964,Lucas,78,SP,Moveis,4167.72
PROD-4750,Lucas,36,SP,Eletronico,3364.53
PROD-2104,Pedro,26,BA,Eletronico,396.16
PROD-1514,Lucas,88,MG,Moveis,3218.83
PROD-6413,Marcos,45,RJ,Moveis,1392.18
PROD-2160,Rafael,69,RS,Moveis,2984.42
PROD-9423,Fernanda,33,RJ,Eletronico,3416.65
PROD-4899,Lucas,86,BA,Eletronico,1192.6
PROD-5562,Pedro,29,SP,Moveis,2311.45
PROD-8953,Marcos,42,SP,Vestuario,992.11
PROD-4510,Mariana,69,RS,Moveis,309.08
PROD-9834,Rafael,70,SP,Vestuario,1923.46
PROD-3167,Rafael,40,SP,Vestuario,1846.57
PROD-8744,Fernanda,33,RS,Moveis,4977.63
PROD-4981,Rafael,74,RS,Moveis,2259.44
PROD-8749,Lucas,56,BA,Moveis,1701.17
PROD-7669,Pedro,70,SP,Eletronico,2923.35
PROD-4119,Rafael,59,SP,Vestuario,489.4
PROD-2545,Rafael,75,BA,Eletronico,4810.25
PROD-2588,Mariana,56,MG,Eletronico,3193.05
PROD-8062,Mariana,31,MG,Moveis,3786.45
PROD-6804,Juliana,22,MG,Eletronico,893.87
PROD-7939,Marcos,52,BA,Moveis,2076.92
PROD-7735,Lucas,35,SP,Vestuario,2142.31
PROD-8651,Rafael,26,BA,Moveis,4117.94
PROD-1887,Camila,75,BA,Eletronico,56.12
PROD-2612,Rafael,34,MG,Eletronico,1539.22
PROD-1993,Pedro,24,RJ,Moveis,4907.12
PROD-7596,Juliana,63,SP,Moveis,2400.69
PROD-6559,Marcos,30,MG,Eletronico,1943.51
PROD-2790,Camila,57,RJ,Vestuario,643.15
PROD-5073,Juliana,59,RJ,Vestuario,4872.11
PROD-4139,Fernanda,26,RS,Moveis,149.13
PROD-4116,Marcos,67,SP,Vestuario,3699.04
PROD-9786,Rafael,44,RJ,Eletronico,3854.57
PROD-8350,Rafael,83,MG,Moveis,1256.1
PROD-3296,Marcos,22,RS,Eletronico,3374.21
PROD-7912,Rafael,46,SP,Eletronico,510.0
PROD-4006,Lucas,54,BA,Vestuario,1322.38
PROD-5563,Marcos,55,MG,Moveis,3950.11
PROD-8579,Juliana,25,RJ,Moveis,4330.2
PROD-5092,Marcos,82,RJ,Vestuario,3062.01
PROD-2235,Camila,34,MG,Eletronico,2558.85
PROD-8260,Rafael,88,RJ,Eletronico,838.55
PROD-2604,Lucas,62,RS,Eletronico,362.39
PROD-1828,Lucas,21,SP,Eletronico,632.36
PROD-9856,Fernanda,53,RS,Moveis,1175.42
PROD-1241,Juliana,87,RJ,Moveis,1741.29
PROD-2528,Mariana,48,BA,Vestuario,1935.5
PROD-4872,Mariana,36,SP,Vestuario,1764.29
PROD-3724,Marcos,78,SP,Moveis,1233.32
PROD-7658,Fernanda,71,MG,Moveis,2573.14
PROD-8956,Pedro,56,MG,Eletronico,4135.17
PROD-8886,Marcos,36,BA,Eletronico,1434.53
PROD-4502,Fernanda,56,SP,Vestuario,4714.82
PROD-7570,Juliana,84,BA,Moveis,4373.02
PROD-1960,Juliana,62,MG,Vestuario,850.73
PROD-3697,Juliana,30,MG,Moveis,3942.07
PROD-7209,Juliana,75,SP,Eletronico,2894.21
PROD-1035,Juliana,37,RS,Vestuario,2854.55
PROD-7396,Fernanda,89,RJ,Vestuario,1985.66
PROD-5345,Fernanda,78,MG,Moveis,2530.71
PROD-8454,Lucas,56,MG,Eletronico,2016.03
PROD-5673,Camila,18,RS,Vestuario,2721.68
PROD-7930,Mariana,20,RS,Eletronico,3158.35
PROD-8973,Rafael,79,BA,Vestuario,3387.8
PROD-3536,Juliana,80,BA,Eletronico,2685.78
PROD-4111,Pedro,42,RJ,Moveis,3621.04
PROD-5861,Rafael,73,RJ,Vestuario,749.33
PROD-4566,Fernanda,50,SP,Vestuario,1099.31
PROD-1958,Pedro,55,BA,Eletronico,4102.74
PROD-9883,Pedro,23,MG,Eletronico,1646.51
PROD-1998,Pedro,75,BA,Vestuario,163.32
PROD-6138,Lucas,61,MG,Moveis,811.27
PROD-1936,Fernanda,62,RS,Eletronico,1156.89
PROD-1821,Pedro,49,BA,Eletronico,4788.75
PROD-8811,Juliana,62,RS,Eletronico,2886.56
PROD-9238,Marcos,78,RJ,Vestuario,4667.02
PROD-9701,Pedro,64,RJ,Vestuario,2897.06
PROD-3579,Lucas,38,SP,Vestuario,2422.8
PROD-1931,Rafael,53,BA,Vestuario,1602.95
PROD-9320,Fernanda,36,RS,Moveis,3051.54
PROD-2312,Camila,37,MG,Moveis,739.03
PROD-4044,Lucas,74,RJ,Vestuario,4496.4
PROD-2122,Pedro,35,RJ,Moveis,4155.2
PROD-2113,Fernanda,64,MG,Eletronico,1621.78
PROD-4853,Marcos,66,RS,Eletronico,4766.35
PROD-7615,Pedro,31,RS,Eletronico,4134.74
PROD-2964,Lucas,32,BA,Vestuario,3348.22
PROD-5033,Mariana,48,BA,Eletronico,652.72
PROD-1651,Juliana,18,SP,Moveis,2417.26
PROD-2343,Camila,71,RJ,Vestuario,2555.23
PROD-7868,Rafael,20,BA,Moveis,1201.13
PROD-9565,Lucas,33,RS,Eletronico,445.83
PROD-6183,Fernanda,74,MG,Eletronico,3894.78
PROD-5272,Camila,29,RS,Eletronico,654.07
PROD-4346,Camila,33,RJ,Vestuario,2991.74
PROD-6147,Camila,89,RS,Moveis,4685.42
PROD-4910,Pedro,41,SP,Vestuario,4386.72
PROD-5351,Juliana,45,RJ,Vestuario,1424.88
PROD-7484,Pedro,25,MG,Eletronico,4264.67
PROD-3144,Fernanda,53,SP,Vestuario,51.65
PROD-5915,Pedro,25,RJ,Vestuario,137.55
PROD-8491,Mariana,75,MG,Eletronico,3032.64
PROD-6180,Juliana,77,SP,Vestuario,1855.75
PROD-2188,Juliana,67,SP,Eletronico,1962.98
PROD-1152,Fernanda,45,RJ,Eletronico,2843.98
PROD-8508,Rafael,58,BA,Eletronico,999.32
PROD-2638,Mariana,81,SP,Eletronico,1098.19
PROD-2200,Lucas,44,SP,Vestuario,2448.78
PROD-9808,Pedro,80,MG,Eletronico,3783.56
PROD-4492,Marcos,34,RS,Eletronico,3116.51
PROD-9288,Pedro,90,RJ,Vestuario,1521.91
PROD-5345,Camila,50,RJ,Vestuario,2180.17
PROD-3170,Pedro,46,BA,Moveis,894.79
PROD-6718,Lucas,30,BA,Vestuario,419.42
PROD-2127,Pedro,63,RJ,Vestuario,3924.35
PROD-5002,Mariana,52,BA,Moveis,1363.67
PROD-7054,Mariana,23,MG,Vestuario,929.94
PROD-5669,Juliana,86,RJ,Vestuario,3473.51
PROD-3584,Fernanda,64,BA,Vestuario,3109.36
PROD-8179,Rafael,42,RJ,Vestuario,3184.29
PROD-9900,Marcos,83,RS,Moveis,1183.03
PROD-5956,Camila,27,SP,Vestuario,1201.6
PROD-9666,Pedro,73,RJ,Vestuario,1142.97
PROD-1128,Pedro,47,SP,Moveis,910.08
PROD-5905,Lucas,22,BA,Eletronico,3295.83
PROD-2697,Fernanda,50,SP,Moveis,4247.68
PROD-3200,Mariana,82,RJ,Eletronico,3635.37
PROD-5333,Marcos,35,RS,Moveis,3970.86
PROD-2891,Juliana,66,BA,Moveis,2053.75
PROD-2753,Mariana,28,RJ,Vestuario,3287.68
PROD-3546,Camila,43,BA,Eletronico,1803.47
PROD-5462,Fernanda,80,MG,Vestuario,2651.25
PROD-5616,Camila,76,SP,Eletronico,2434.09
PROD-4450,Rafael,44,MG,Moveis,925.59
PROD-6617,Juliana,66,RJ,Moveis,1966.04
PROD-4335,Rafael,50,RS,Eletronico,4820.92
PROD-5325,Lucas,18,BA,Vestuario,1280.47
PROD-9280,Camila,38,SP,Vestuario,712.33
PROD-9004,Lucas,72,BA,Vestuario,2121.97
PROD-5114,Pedro,23,RJ,Vestuario,3962.17
PROD-1832,Rafael,86,BA,Moveis,2931.63
PROD-2512,Fernanda,22,SP,Moveis,3420.83
PROD-7939,Camila,20,RJ,Moveis,988.99
PROD-5533,Marcos,70,BA,Moveis,3113.79
PROD-1722,Juliana,40,RS,Moveis,1651.33
PROD-1058,Mariana,70,RJ,Vestuario,4179.8
PROD-6464,Fernanda,54,RJ,Vestuario,3165.03
PROD-3143,Fernanda,34,RS,Vestuario,1034.34
PROD-5291,Lucas,90,MG,Vestuario,369.85
PROD-3647,Rafael,18,SP,Moveis,261.03
PROD-8239,Camila,68,MG,Moveis,1888.47
PROD-8007,Camila,62,BA,Moveis,1365.96
PROD-1158,Pedro,21,RS,Eletronico,3248.15
PROD-2832,Pedro,79,MG,Vestuario,2521.7
PROD-2232,Juliana,82,RJ,Vestuario,1366.8
PROD-3442,Lucas,49,BA,Moveis,788.73
PROD-9938,Fernanda,51,BA,Vestuario,679.64
PROD-1590,Camila,89,MG,Vestuario,4330.07
PROD-7049,Marcos,56,MG,Moveis,1255.22
PROD-3426,Lucas,43,RS,Eletronico,3275.97
PROD-8041,Juliana,51,SP,Eletronico,4062.9
PROD-3088,Juliana,71,MG,Eletronico,3089.7
PROD-1685,Lucas,20,MG,Moveis,4304.85
PROD-6050,Juliana,67,RJ,Vestuario,1992.35
PROD-6974,Lucas,29,BA,Moveis,4783.3
PROD-1653,Mariana,82,SP,Moveis,709.07
PROD-6862,Lucas,71,RJ,Vestuario,555.64
PROD-4441,Rafael,22,RS,Eletronico,3310.53
PROD-5088,Lucas,74,RS,Eletronico,4717.01
PROD-2684,Juliana,34,MG,Moveis,4053.97
PROD-6794,Camila,64,MG,Eletronico,428.26
PROD-7658,Rafael,40,RS,Moveis,1432.87
PROD-3532,Juliana,31,MG,Moveis,4655.08
PROD-4878,Pedro,83,SP,Vestuario,1302.64
PROD-3662,Pedro,68,MG,Vestuario,3916.79
PROD-3900,Camila,55,BA,Vestuario,4134.4
PROD-7755,Camila,81,MG,Moveis,2502.49
PROD-1406,Rafael,55,RJ,Vestuario,1962.43
PROD-3938,Mariana,67,SP,Eletronico,2278.12
PROD-6442,Camila,47,RJ,Eletronico,1173.48
PROD-7745,Pedro,68,RJ,Moveis,4452.49
PROD-5065,Lucas,80,BA,Moveis,2280.57
PROD-5371,Juliana,69,SP,Vestuario,4418.17
PROD-3608,Pedro,55,SP,Moveis,573.18
PROD-2771,Pedro,47,SP,Moveis,4941.96
PROD-7267,Mariana,68,SP,Eletronico,2244.2
PROD-1634,Rafael,22,SP,Eletronico,286.76
PROD-8711,Rafael,46,BA,Vestuario,238.21
PROD-4644,Fernanda,21,MG,Moveis,3743.73
PROD-4269,Mariana,27,RJ,Moveis,3312.23
PROD-8541,Lucas,73,SP,Eletronico,4020.55
PROD-6728,Rafael,34,MG,Moveis,571.57
PROD-6000,Juliana,34,MG,Eletronico,226.08
PROD-4728,Camila,86,RJ,Vestuario,2567.47
PROD-4652,Mariana,51,BA,Eletronico,1968.6
PROD-1387,Camila,23,RS,Moveis,2336.64
PROD-4164,Pedro,70,RS,Vestuario,4958.36
PROD-7528,Juliana,83,MG,Eletronico,4855.21
PROD-6378,Juliana,60,RJ,Eletronico,4714.46
PROD-5564,Pedro,40,RS,Vestuario,3930.02
PROD-2137,Mariana,72,MG,Vestuario,1806.46
PROD-5573,Pedro,33,BA,Eletronico,2090.05
PROD-6753,Camila,25,RS,Moveis,2770.6
PROD-9346,Fernanda,21,MG,Eletronico,4161.15
PROD-7548,Juliana,21,MG,Vestuario,390.13
PROD-9785,Marcos,73,SP,Eletronico,2150.27
PROD-6425,Marcos,42,BA,Vestuario,458.96
PROD-1452,Camila,84,SP,Vestuario,2597.56
PROD-2889,Lucas,84,RJ,Moveis,4499.56
PROD-5279,Rafael,44,SP,Vestuario,3923.3
PROD-3925,Pedro,49,SP,Vestuario,1177.82
PROD-5349,Pedro,67,RS,Moveis,4881.15
PROD-1626,Lucas,78,MG,Vestuario,3353.38
PROD-2776,Lucas,68,BA,Moveis,101.62
PROD-8119,Camila,36,SP,Moveis,1314.3
PROD-6663,Camila,38,BA,Vestuario,1340.53
PROD-6139,Lucas,22,SP,Vestuario,392.81
PROD-8149,Juliana,59,RJ,Eletronico,4801.14
PROD-9379,Camila,78,SP,Moveis,2417.36
PROD-2894,Fernanda,39,RS,Eletronico,4484.28
PROD-7311,Camila,38,MG,Vestuario,1644.97
PROD-4114,Pedro,87,RJ,Eletronico,669.91
PROD-5173,Camila,18,SP,Moveis,2397.96
PROD-1727,Juliana,22,BA,Eletronico,614.09
PROD-8144,Lucas,29,RJ,Moveis,2455.78
PROD-1027,Pedro,63,RJ,Vestuario,4605.47
PROD-9518,Camila,51,SP,Vestuario,2627.8
PROD-9821,Juliana,66,RJ,Moveis,3101.67
PROD-4228,Fernanda,62,BA,Vestuario,825.36
PROD-6967,Camila,44,RJ,Vestuario,266.49
PROD-8066,Juliana,90,BA,Vestuario,598.5
PROD-2146,Fernanda,43,SP,Vestuario,3012.73
PROD-6409,Lucas,64,MG,Moveis,520.31
PROD-6143,Camila,73,RJ,Eletronico,1911.16
PROD-3041,Fernanda,80,MG,Eletronico,2772.96
PROD-5920,Pedro,65,BA,Vestuario,1973.83
PROD-9308,Lucas,78,RJ,Eletronico,860.23
PROD-6067,Pedro,43,RS,Eletronico,1405.27
PROD-7691,Marcos,53,MG,Vestuario,4645.17
PROD-6344,Mariana,18,RJ,Vestuario,3396.11
PROD-7592,Camila,25,MG,Eletronico,2505.44
PROD-5844,Fernanda,69,RJ,Moveis,112.94
PROD-3085,Mariana,64,SP,Vestuario,4962.46
PROD-4143,Mariana,73,MG,Moveis,3373.7
PROD-7888,Fernanda,31,RS,Eletronico,1618.77
PROD-7211,Lucas,45,RS,Vestuario,4402.38
PROD-3851,Camila,19,BA,Moveis,1329.24
PROD-5930,Marcos,43,RJ,Vestuario,2742.88
PROD-7653,Pedro,31,MG,Eletronico,3198.55
PROD-9977,Juliana,76,BA,Moveis,1144.26
PROD-1006,Pedro,73,MG,Eletronico,4893.07
PROD-5978,Juliana,24,RJ,Eletronico,3753.55
PROD-5700,Pedro,20,RS,Vestuario,2811.18
PROD-4443,Fernanda,40,SP,Moveis,943.94
PROD-8043,Marcos,35,RS,Eletronico,316.6
PROD-6279,Camila,55,BA,Eletronico,1634.3
PROD-8618,Juliana,32,SP,Moveis,3778.28
PROD-8238,Camila,81,BA,Eletronico,1383.19
PROD-8244,Camila,45,RJ,Eletronico,2720.8
PROD-4501,Camila,56,SP,Moveis,3653.34
PROD-9375,Rafael,74,BA,Moveis,584.32
PROD-8752,Lucas,34,RJ,Moveis,3442.23
PROD-3780,Pedro,61,RS,Moveis,504.76
PROD-2389,Camila,42,RJ,Vestuario,4827.39
PROD-5649,Pedro,34,MG,Moveis,2467.55
PROD-9445,Camila,30,RJ,Vestuario,795.85
PROD-6491,Juliana,42,RJ,Vestuario,1744.8
PROD-2530,Lucas,85,MG,Vestuario,2096.41
PROD-4848,Lucas,27,BA,Eletronico,3803.02
PROD-6085,Fernanda,84,BA,Vestuario,3729.95
PROD-4680,Rafael,35,RJ,Vestuario,3079.11
PROD-4262,Fernanda,51,MG,Eletronico,574.36
PROD-3414,Fernanda,25,MG,Eletronico,800.27
PROD-1400,Fernanda,57,RS,Eletronico,514.1
PROD-1757,Fernanda,59,BA,Moveis,2907.01
PROD-5011,Fernanda,58,SP,Eletronico,4391.84
PROD-8784,Marcos,23,BA,Eletronico,2197.31
PROD-2193,Lucas,69,BA,Vestuario,846.2
PROD-8461,Fernanda,43,RS,Eletronico,2812.31
PROD-7790,Camila,81,SP,Moveis,4068.17
PROD-4185,Lucas,76,RS,Eletronico,3721.47
PROD-7291,Lucas,73,SP,Moveis,4413.18
PROD-9099,Mariana,76,RJ,Eletronico,1425.62
PROD-7547,Marcos,87,SP,Eletronico,1010.07
PROD-4997,Fernanda,50,RS,Eletronico,4405.09
PROD-3417,Pedro,70,BA,Eletronico,3304.92
PROD-1090,Juliana,39,SP,Moveis,1589.1
PROD-2746,Rafael,38,SP,Moveis,3724.62
PROD-7965,Camila,87,MG,Vestuario,4084.84
PROD-4585,Pedro,87,BA,Moveis,3094.14
PROD-3881,Marcos,21,RJ,Eletronico,3455.03
PROD-9486,Juliana,79,RS,Vestuario,1907.54
PROD-8611,Marcos,79,RJ,Vestuario,2716.54
PROD-1822,Camila,41,BA,Vestuario,2644.59
PROD-5082,Lucas,72,SP,Eletronico,4247.84
PROD-2988,Juliana,26,SP,Moveis,4207.82
PROD-8478,Lucas,20,BA,Eletronico,4171.77
PROD-3184,Camila,48,SP,Vestuario,104.61
PROD-8612,Pedro,57,SP,Eletronico,3760.25
PROD-9702,Camila,53,SP,Eletronico,3805.45
PROD-6198,Pedro,41,RS,Moveis,3407.98
PROD-8251,Juliana,23,RS,Moveis,3793.51
PROD-9270,Juliana,83,MG,Vestuario,4217.75
PROD-7991,Fernanda,21,RJ,Eletronico,2378.08
PROD-9976,Marcos,23,BA,Eletronico,2535.15
PROD-8305,Fernanda,68,BA,Moveis,667.33
PROD-3607,Marcos,79,BA,Eletronico,1957.61
PROD-8777,Fernanda,74,MG,Eletronico,3234.66
PROD-8373,Lucas,83,RS,Eletronico,3912.98
PROD-5246,Juliana,25,MG,Moveis,1125.19
PROD-5050,Pedro,43,BA,Vestuario,732.22
PROD-5543,Marcos,68,RJ,Vestuario,3332.06
PROD-9540,Camila,62,SP,Eletronico,59.31
PROD-8939,Marcos,61,RS,Vestuario,932.94
PROD-4919,Pedro,22,RS,Moveis,193.9
PROD-5499,Fernanda,87,MG,Moveis,876.08
PROD-8206,Marcos,43,RS,Vestuario,947.53
PROD-2269,Rafael,85,BA,Vestuario,1968.98
PROD-5681,Lucas,36,BA,Eletronico,2041.52
PROD-4841,Juliana,37,MG,Vestuario,4377.6
PROD-5451,Pedro,29,BA,Eletronico,2575.04
PROD-6502,Juliana,64,RJ,Eletronico,3630.85
